preferences,seed,learn_rate,model_type,train_pairs,dev_pairs,test_pairs,epoch_num,loss_train,loss_dev,loss_test,rho_train,rho_p_train,pcc_train,pcc_p_train,tau_train,tau_p_train,rho_train_global,pcc_train_global,tau_train_global,rho_dev,rho_p_dev,pcc_dev,pcc_p_dev,tau_dev,tau_p_dev,rho_dev_global,pcc_dev_global,tau_dev_global,rho_test,rho_p_test,pcc_test,pcc_p_test,tau_test,tau_p_test,rho_test_global,pcc_test_global,tau_test_global
majority,1,0.001,linear,627,150,186,27,0.498372266,0.631181419,0.713863462,0.619962576,0.017181794,0.657851033,0.004587836,0.523445169,0.0178005,0.637909222,0.642287961,0.498183737,0.382443991,0.172034732,0.42099854,0.083222913,0.309089994,0.172288574,0.403759325,0.405108652,0.307532675,0.219313582,0.247436999,0.216185069,0.196898006,0.192186614,0.238793815,0.196825789,0.179912228,0.148547652
majority,1,0.001,linear,627,150,186,22,0.505676921,0.631378329,0.697754631,0.613121424,0.022020183,0.649157696,0.005911347,0.519483692,0.020881128,0.633177843,0.637252836,0.493436319,0.387800938,0.172684563,0.421879341,0.084415658,0.314761538,0.172839339,0.401987411,0.402903469,0.30592951,0.232002002,0.252443762,0.229538907,0.218165798,0.198921491,0.249952254,0.219258512,0.19591361,0.166643318
majority,1,0.001,linear,627,150,186,28,0.497075024,0.631494451,0.713892917,0.620609711,0.017203326,0.659288808,0.004400605,0.525399587,0.017407893,0.638478118,0.643116958,0.498730302,0.376532443,0.174403407,0.421011288,0.082725379,0.305764889,0.176043672,0.409681452,0.406955716,0.311494962,0.229402624,0.247957334,0.214398977,0.18983037,0.201711732,0.24432749,0.193713302,0.17821695,0.145762091
majority,1,0.001,linear,627,150,186,19,0.511858037,0.631537712,0.694431792,0.605693312,0.023193508,0.642752363,0.007078074,0.511935179,0.021555123,0.6281088,0.63242061,0.489095122,0.414761121,0.157608264,0.423013103,0.088959661,0.338326883,0.157261116,0.398065517,0.400618402,0.303305124,0.214206068,0.290777346,0.236759051,0.237624619,0.182966259,0.30649055,0.225126609,0.203603492,0.172588628
majority,1,0.001,linear,627,150,186,26,0.500867304,0.632314146,0.708563089,0.611616588,0.019820495,0.656285756,0.004814879,0.516577102,0.019756697,0.636375417,0.641460491,0.496696401,0.395015946,0.171254785,0.421077181,0.082419918,0.319947709,0.1728938,0.409072074,0.405641449,0.310940361,0.208795352,0.251574571,0.217473281,0.197147479,0.179261282,0.243846972,0.195408775,0.182021229,0.146678387
majority,1,0.001,linear,627,150,186,25,0.50239549,0.632478952,0.706392318,0.615297367,0.01830748,0.654300907,0.005110544,0.519845005,0.018565741,0.635876103,0.640189445,0.496081776,0.386818919,0.165540146,0.423147125,0.081617344,0.312681635,0.167670522,0.410578128,0.407132307,0.31227284,0.212194251,0.255332122,0.221537649,0.200512845,0.182559339,0.248103336,0.201936758,0.185516024,0.152583468
majority,1,0.001,linear,627,150,186,24,0.502182569,0.632899153,0.707867384,0.615203069,0.018690504,0.653143207,0.005247352,0.519842305,0.018993963,0.634487976,0.639444616,0.49487517,0.393478754,0.161778206,0.422094986,0.084983763,0.319212141,0.162558701,0.401427456,0.403237423,0.304969815,0.211785259,0.269594919,0.223387358,0.208171347,0.181847691,0.272610337,0.207184756,0.189125469,0.155775277
majority,1,0.001,linear,627,150,186,35,0.491398202,0.635830379,0.72717907,0.629479407,0.012803912,0.667390711,0.00342782,0.533001699,0.0128873,0.643776948,0.648613907,0.504025836,0.374834911,0.175739334,0.417666616,0.084056821,0.300246269,0.176504346,0.414497893,0.407944241,0.315476084,0.201892149,0.224458536,0.207439686,0.180788587,0.173226938,0.227197996,0.191718545,0.171428679,0.143590852
majority,1,0.001,linear,627,150,186,34,0.492245381,0.635969234,0.721060822,0.627619306,0.016627453,0.665914405,0.003581856,0.53039293,0.016899089,0.642384727,0.64728279,0.502596202,0.373749755,0.176845346,0.418660424,0.081377821,0.299958335,0.177987673,0.411835702,0.409746349,0.313221444,0.184794836,0.206225108,0.205750154,0.176585497,0.166099253,0.206237413,0.182176643,0.169000825,0.136791205
majority,1,0.001,linear,627,150,186,31,0.493698084,0.6368487,0.719606499,0.620774348,0.017110535,0.662984557,0.003946393,0.525698187,0.017538355,0.640820789,0.645946509,0.500969609,0.369588601,0.178884963,0.420156257,0.082529872,0.296339231,0.179594875,0.409256499,0.407808594,0.310693419,0.204665135,0.223763263,0.210265916,0.185601699,0.185866741,0.233337858,0.190701729,0.173561772,0.143343301
majority,1,0.001,linear,627,150,186,30,0.495100117,0.636853719,0.714834342,0.625760057,0.016775943,0.661999921,0.004066567,0.53085718,0.016960333,0.640409415,0.645409678,0.500721666,0.38089598,0.168567422,0.419069759,0.085815221,0.307163784,0.17105934,0.407054056,0.404603619,0.308696596,0.232380919,0.279290073,0.215203766,0.192832765,0.19522682,0.282947216,0.200629577,0.179765692,0.148828582
majority,1,0.001,linear,627,150,186,29,0.497043726,0.636906278,0.713966489,0.616323098,0.017606796,0.660650389,0.004229514,0.520241108,0.017699385,0.639621784,0.644533907,0.499866053,0.380009091,0.166412054,0.420225451,0.082361746,0.306399897,0.167381853,0.410610418,0.406430737,0.311715571,0.196263381,0.193980617,0.213598157,0.185750716,0.175677943,0.19405026,0.194519768,0.178380529,0.146007093
majority,1,0.001,linear,627,150,186,39,0.487898372,0.637023175,0.732708067,0.628162379,0.012796763,0.669461832,0.003176388,0.531835469,0.012697676,0.64395337,0.649381726,0.504339385,0.353282627,0.180912363,0.419228113,0.077338175,0.287926002,0.181083131,0.418602706,0.413980033,0.31795227,0.19012353,0.220420603,0.201595058,0.162736399,0.161225318,0.222408803,0.184468301,0.165122934,0.13907807
